Járás;Átlag;x;5;25;50;75;95
Budapest I. kerület;1777;-4,6;1543;1679;1769;1880;2036
Budapest II. kerület;1725;-4,1;1401;1632;1743;1840;1962
Budapest III. kerület;1738;-4,8;1356;1606;1767;1877;2054
Budapest IV. kerület;1726;-4,7;1434;1607;1726;1849;2009
Budapest V. kerület;1856;-4,3;1537;1752;1879;1986;2113
Budapest VI. kerület;1661;-6,3;1321;1532;1675;1802;1952
Budapest VII. kerület;1661;-4,6;1336;1532;1647;1798;1990
Budapest VIII. kerület;1689;-4,7;1315;1511;1680;1868;2089
Budapest IX. kerület;1665;-3,5;1357;1564;1672;1779;1933
Budapest X. kerület;1689;-4,7;1327;1586;1704;1818;1982
Budapest XI. kerület;1727;-4,9;1375;1602;1753;1870;2007
Budapest XII. kerület;1739;-5,7;1432;1625;1747;1862;2035
Budapest XIII. kerület;1648;-3,5;1304;1512;1649;1784;1977
Budapest XIV. kerület;1719;-3,6;1377;1594;1722;1853;2048
Budapest XV. kerület;1631;-7,1;1364;1526;1622;1740;1912
Budapest XVI. kerület;1729;-5,8;1363;1601;1766;1869;2020
Budapest XVII. kerület;1712;-7,6;1329;1567;1722;1873;2014
Budapest XVIII. kerület;1721;-4,9;1427;1594;1719;1847;2019
Budapest XIX. kerület;1680;-6,1;1283;1568;1711;1823;2002
Budapest XX. kerület;1671;-5,5;1349;1559;1685;1790;1942
Budapest XXI. kerület;1580;-4,5;1259;1434;1583;1726;1902
Budapest XXII. kerület;1759;-9,1;1489;1625;1752;1884;2049
Budapest XXIII. kerület;1565;-35,9;1163;1473;1580;1664;1851
Ajkai;1629;-7,5;1335;1498;1631;1752;1956
Aszódi;1705;-9,2;1505;1609;1692;1787;1949
Bácsalmási;1632;-21,3;1438;1521;1612;1755;1884
Bajai;1631;-5;1291;1513;1638;1761;1933
Baktalórántházai;1389;-15,2;1141;1303;1359;1486;1628
Balassagyarmati;1636;-6,8;1360;1529;1642;1734;1898
Balatonalmádi;1685;-12,5;1314;1564;1729;1818;1948
Balatonfüredi;1683;-9,4;1433;1585;1698;1788;1916
Balmazújvárosi;1543;-15,1;1219;1407;1531;1671;1845
Barcsi;1614;-10,2;1246;1492;1632;1769;1920
Bátonyterenyei;1425;-19,2;1242;1328;1401;1506;1622
Békéscsabai;1645;-3,9;1332;1524;1647;1776;1949
Békési;1593;-8,2;1279;1481;1600;1715;1852
Berettyóújfalui;1469;-9,2;1193;1309;1475;1611;1761
Bicskei;1620;-17,7;1297;1492;1608;1756;1936
Bonyhádi;1667;-9,2;1328;1504;1684;1819;1993
Budakeszi;1729;-7,3;1355;1579;1753;1893;2051
Ceglédi;1605;-5,9;1293;1484;1595;1727;1924
Celldömölki;1675;-14,4;1408;1557;1677;1796;1972
Csengeri;1506;-10,9;1211;1345;1490;1696;1867
Csongrádi;1625;-12;1341;1490;1619;1742;1926
Csornai;1568;-11,3;1295;1451;1590;1679;1800
Csurgói;1512;-14,8;1326;1406;1516;1595;1733
Dabasi;1614;-8,1;1353;1494;1592;1741;1922
Debreceni;1654;-2;1314;1529;1662;1789;1970
Derecskei;1537;-17,2;1273;1430;1553;1631;1722
Devecseri;1488;-39;1171;1382;1458;1609;1829
Dombóvári;1695;-9;1409;1611;1706;1796;1954
Dunakeszi;1702;-6,8;1389;1577;1710;1850;2019
Dunaújvárosi;1605;-5,2;1300;1475;1601;1725;1909
Edelényi;1485;-9,2;1148;1352;1491;1639;1776
Egri;1644;-3,4;1320;1507;1657;1785;1953
Encsi;1447;-12,4;1115;1284;1461;1607;1833
Érdi;1714;-4,4;1374;1601;1729;1855;1999
Esztergomi;1668;-5;1339;1525;1682;1812;1970
Fehérgyarmati;1494;-9;1186;1327;1469;1657;1835
Fonyódi;1645;-8,3;1334;1511;1664;1787;1914
Füzesabonyi;1535;-18,9;1298;1455;1549;1632;1747
Gárdonyi;1698;-11,4;1419;1576;1702;1825;1944
Gödöllői;1707;-4,7;1292;1544;1746;1873;2029
Gönci;1542;-14,7;1227;1375;1535;1740;1816
Gyáli;1703;-12;1323;1596;1709;1815;2001
Gyomaendrődi;1506;-11,8;1265;1380;1514;1619;1737
Gyöngyösi;1631;-5,7;1294;1488;1639;1760;1963
Győri;1723;-2,3;1434;1599;1723;1847;2012
Gyulai;1562;-8;1292;1416;1556;1689;1840
Hajdúböszörményi;1595;-7,6;1279;1465;1590;1724;1903
Hajdúhadházi;1333;-14,3;1224;1267;1326;1399;1468
Hajdúnánási;1578;-9;1266;1452;1601;1725;1871
Hajdúszoboszlói;1606;-8,2;1300;1485;1618;1718;1900
Hatvani;1587;-6,6;1293;1447;1578;1714;1902
Hegyháti;1501;-23,5;1202;1433;1521;1570;1679
Hevesi;1496;-13,1;1171;1347;1475;1639;1881
Hódmezővásárhelyi;1658;-6,9;1360;1518;1642;1790;1983
Ibrányi;1489;-29,2;1180;1327;1469;1646;1807
Jánoshalmai;1513;-12,9;1258;1422;1493;1611;1801
Jászapáti;1483;-18,3;1195;1329;1462;1624;1820
Jászberényi;1616;-5,1;1307;1491;1617;1739;1908
Kalocsai;1633;-8,7;1316;1517;1645;1755;1907
Kaposvári;1639;-4,8;1317;1515;1645;1762;1954
Kapuvári;1678;-14,7;1444;1581;1680;1772;1905
Karcagi;1546;-6,9;1235;1410;1547;1674;1878
Kazincbarcikai;1519;-5,1;1194;1367;1521;1667;1850
Kecskeméti;1692;-3,3;1370;1574;1698;1811;2006
Kemecsei;1509;-38,9;1150;1444;1496;1597;1778
Keszthelyi;1634;-7,2;1320;1481;1645;1760;1981
Kisbéri;1613;-15,7;1341;1491;1616;1718;1904
Kiskőrösi;1643;-7,6;1356;1546;1639;1774;1903
Kiskunfélegyházi;1625;-5,2;1364;1506;1634;1730;1911
Kiskunhalasi;1654;-6,1;1365;1538;1654;1773;1939
Kiskunmajsai;1603;-16,7;1352;1478;1606;1738;1838
Kisteleki;1603;-22,4;1367;1507;1644;1695;1786
Kisvárdai;1550;-5,4;1208;1396;1526;1706;1948
Komáromi;1625;-8,1;1359;1525;1612;1735;1890
Komlói;1588;-10,8;1340;1477;1588;1730;1824
Körmendi;1625;-13,7;1431;1554;1632;1678;1806
Kőszegi;1716;-8,9;1402;1624;1732;1836;1987
Kunhegyesi;1380;-12,1;1142;1246;1341;1505;1671
Kunszentmártoni;1594;-10,7;1370;1524;1586;1672;1827
Kunszentmiklósi;1647;-9,8;1332;1525;1646;1768;1915
Lenti;1614;-27,3;1219;1387;1664;1833;1909
Makói;1634;-8,6;1328;1530;1638;1743;1915
Marcali;1548;-10,9;1220;1410;1530;1683;1856
Mátészalkai;1499;-5,1;1188;1344;1489;1655;1838
Mezőcsáti;1430;-20,1;1130;1356;1446;1537;1693
Mezőkovácsházai;1499;-11,9;1240;1385;1497;1616;1751
Mezőkövesdi;1533;-10,2;1275;1410;1536;1664;1820
Mezőtúri;1576;-8,8;1306;1467;1572;1691;1840
Miskolci;1638;-2,9;1284;1494;1649;1785;1963
Mohácsi;1606;-10,8;1318;1501;1586;1736;1903
Monori;1630;-7;1271;1491;1660;1782;1938
Mórahalmi;1544;-14,9;1288;1433;1543;1651;1770
Móri;1577;-9,3;1281;1472;1582;1681;1826
Mosonmagyaróvári;1650;-7,5;1366;1550;1655;1750;1906
Nagyatádi;1561;-10,8;1289;1417;1544;1673;1906
Nagykállói;1503;-9,2;1225;1383;1510;1616;1794
Nagykanizsai;1653;-5,1;1295;1517;1668;1797;1965
Nagykátai;1547;-12,1;1142;1388;1574;1720;1880
Nagykőrösi;1601;-8,8;1312;1478;1615;1726;1887
Nyíradonyi;1624;-39,3;1263;1528;1595;1740;1918
Nyírbátori;1465;-9,5;1172;1327;1439;1630;1788
Nyíregyházi;1631;-3,2;1292;1500;1637;1773;1938
Orosházi;1636;-7;1336;1489;1644;1767;1945
Oroszlányi;1648;-13,8;1338;1529;1689;1772;1906
Ózdi;1555;-9,1;1264;1422;1552;1704;1842
Paksi;1710;-7,8;1421;1590;1723;1832;1966
Pannonhalmi;1903;-22,8;1650;1787;1896;1998;2184
Pápai;1653;-6,2;1297;1530;1656;1793;1951
Pásztói;1717;-12;1446;1631;1722;1822;1932
Pécsi;1683;-2,9;1350;1566;1687;1808;1981
Pécsváradi;1491;-20;1267;1389;1474;1627;1740
Pétervásárai;1433;-34,5;1207;1298;1369;1576;1832
Pilisvörösvári;1713;-9,6;1386;1609;1724;1814;1981
Putnoki;1498;-16,5;1255;1367;1505;1617;1814
Püspökladányi;1468;-13,4;1165;1334;1414;1600;1806
Ráckevei;1645;-8,7;1299;1520;1659;1773;1961
Salgótarjáni;1572;-6,3;1244;1436;1567;1718;1882
Sárbogárdi;1754;-18,9;1437;1689;1747;1840;1978
Sarkadi;1494;-27,7;1175;1345;1505;1637;1760
Sárospataki;1663;-8,1;1436;1570;1646;1757;1902
Sárvári;1648;-12,3;1381;1517;1638;1764;1944
Sátoraljaújhelyi;1519;-9,8;1232;1417;1524;1618;1776
Sellyei;1453;-25,5;1131;1369;1449;1554;1699
Siklósi;1519;-13,8;1227;1358;1511;1672;1869
Siófoki;1615;-6,3;1309;1482;1619;1749;1887
Soproni;1690;-4,7;1417;1581;1689;1792;1956
Sümegi;1656;-13,8;1373;1542;1661;1773;1892
Szarvasi;1645;-11,5;1297;1522;1659;1769;1933
Szécsényi;1568;-16,4;1227;1366;1587;1729;1936
Szegedi;1695;-2,8;1380;1572;1700;1823;1995
Szeghalmi;1630;-12,3;1304;1530;1639;1753;1913
Székesfehérvári;1675;-3;1358;1553;1682;1804;1971
Szekszárdi;1598;-5,2;1299;1462;1593;1726;1886
